system,seed,family,config,force_rmse_rel,potential_error_rel,virial_error_rel,pressure_error_rel,batch_size,sog_terms
N640,43.0,rbsog_batch,"P=50,M=12",1.324700821258581,0.14869311455968406,0.29752249236419176,0.04253688527941845,50.0,12.0
N640,43.0,rbsog_batch,"P=100,M=12",1.0925894142136057,0.23452106267571138,0.21795747453642983,0.031161449396568994,100.0,12.0
N640,43.0,rbsog_batch,"P=200,M=12",0.941735220425798,0.16124608301546495,0.29610920870776136,0.04233482766594806,200.0,12.0
N640,43.0,rbsog_batch,"P=400,M=12",0.8753131575172755,0.19110889233669603,0.28495946282895196,0.04074074495451045,400.0,12.0
N640,43.0,rbsog_terms,"P=100,M=6",0.940067956061678,0.22864295376698157,0.04889726241774537,0.00699085714634041,100.0,6.0
N640,43.0,rbsog_terms,"P=100,M=12",1.0643316511006635,0.09922600003548762,0.3715459227578306,0.053120038645816374,100.0,12.0
N640,43.0,rbsog_terms,"P=100,M=18",2.3884510222940154,1.1458381512494478,0.6776180002773058,0.09687926083175583,100.0,18.0
N640,43.0,rbsog_terms,"P=100,M=24",7.170961682576438,4.307167407783231,1.5707790817092353,0.22457478447104262,100.0,24.0
N640,44.0,pppm,grid=16^3,1.866823514009877,0.589348625705857,4.897003388539193,0.64076394116619,nan,nan
N640,44.0,rbsog_batch,"P=25,M=12",1.9084556279249463,0.18941372117712904,0.2765167203828079,0.03618170736118104,25.0,12.0
N640,44.0,rbsog_batch,"P=50,M=12",1.4834732212887916,0.3072676170102834,0.11223154601929314,0.014685292625853993,50.0,12.0
N640,44.0,rbsog_batch,"P=100,M=12",1.1898080137856877,0.17315139113242312,0.2986722969033715,0.0390807240462319,100.0,12.0
N640,44.0,rbsog_batch,"P=200,M=12",1.0600306231378296,0.1682816367618126,0.27952330153776883,0.03657511300896906,200.0,12.0
N640,44.0,rbsog_batch,"P=400,M=12",0.9839180199634373,0.18799685998233642,0.26985956123200244,0.035310630256267586,400.0,12.0
N640,44.0,rbsog_terms,"P=100,M=6",1.100353631228268,0.1870592318481687,0.005525276192914508,0.0007229722890714594,100.0,6.0
N640,44.0,rbsog_terms,"P=100,M=12",1.2171903459657771,0.21106887066666496,0.22504665840690713,0.0294469438441838,100.0,12.0
N640,44.0,rbsog_terms,"P=100,M=18",2.6207168372882936,1.1747831354148184,0.65712376927823,0.08598344392044736,100.0,18.0
N640,44.0,rbsog_terms,"P=100,M=24",7.757306665759454,4.319400108680445,1.6363839911339648,0.2141178537622053,100.0,24.0
